Property Name,Contact Person, Email,Contact Number,  Address,preferred_campus,accomodation_type,room_type,monthly_budget,safety_priority,distance_priority,high_speed_wifi,secure_parking,laundry_facilities,kitchen_access,security_24_7,gym_access,study_areas,public_transport
Mako Student Village,Maletse Kiddo Mako,afribreezesa@gmail.com,824142888,"8 Cassandra Avenue, Bedworth Park, Vereeniging, Gauteng, 1939, South Africa",,,,,,,1,1,1,1,,,,
Vaal Student Housing,Andries Johannes Joubert,vaalstudenthousing@gmail.com,718875619,"136 Stephenson Street, Vanderbijlpark C. W. 5, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Mako Student Village 2,Maletse Kiddo Mako,afribreezesa@gmail.com,824142888,"6 Cassandra Avenue, Bedworth Park, Vereeniging, Gauteng, 1939, South Africa",,,,,,,1,1,1,1,,,,
Mako Student Village 3,Maletse Kiddo Mako,afribreezesa@gmail.com,824142888,"7 Cassandra Avenue, Bedworth Park, Vereeniging, Gauteng, 1939, South Africa",,,,,,,1,1,1,1,,,,
Mako Student Village 4,Maletse Kiddo Mako,afribreezesa@gmail.com,824142888,"9 Cassandra Avenue, Bedworth Park, Vereeniging, Gauteng, 1939, South Africa",,,,,,,1,1,1,1,,,,
Mako Student Village 5,Maletse Kiddo Mako,afribreezesa@gmail.com,824142888,"11 Cassandra Avenue, Bedworth Park, Vereeniging, Gauteng, 1939, South Africa",,,,,,,1,1,1,1,,,,
Mako Student Village 6,Maletse Kiddo Mako,afribreezesa@gmail.com,824142888,"1 Borea Avenue, Bedworth Park, Vereeniging, Gauteng, 1939, South Africa",,,,,,,1,1,1,1,,,,
Mako Student Village 7,Maletse Kiddo Mako,afribreezesa@gmail.com,824142888,"15 Borea Avenue, Bedworth Park, Vereeniging, Gauteng, 1939, South Africa",,,,,,,1,1,1,1,,,,
Mako Student Village 8,Maletse Kiddo Mako,afribreezesa@gmail.com,824142888,"1 Aurora Avenue, Bedworth Park, Vereeniging, Gauteng, 1939, South Africa",,,,,,,1,1,1,1,,,,
Mako Student Village 9,Maletse Kiddo Mako,afribreezesa@gmail.com,824142888,"2 Aurora Avenue, Bedworth Park, Vereeniging, Gauteng, 1939, South Africa",,,,,,,1,1,1,1,,,,
Mako Student Village 10,Maletse Kiddo Mako,afribreezesa@gmail.com,824142888,"5 Aurora Avenue, Bedworth Park, Vereeniging, Gauteng, 1939, South Africa",,,,,,,1,1,1,1,,,,
Mako Student Village 11,Maletse Kiddo Mako,afribreezesa@gmail.com,824142888,"6 Aurora Avenue, Bedworth Park, Vereeniging, Gauteng, 1939, South Africa",,,,,,,1,1,1,1,,,,
Mako Student Village 12,Maletse Kiddo Mako,afribreezesa@gmail.com,824142888,"8 Aurora Avenue, Bedworth Park, Vereeniging, Gauteng, 1939, South Africa",,,,,,,1,1,1,1,,,,
VINNY ACCOMMODATION,SANDRA KABEDI,kevinemwelwa718@gmail.com,726624752,"16 Piet Retief Boulevard, Vanderbijlpark S. E. 6, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
HOME AWAY FROM HOME (HAFHA),Lufuno Barro,lufuno.barro@gmail.com,608320584,"16 Sparrman Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Kananelo Student Accomodation ,Paul Rantso,paulrantso@gmail.com,837628042,"17 General Froneman Street, Vanderbijlpark S. E. 7, Vanderbijlpark, Gauteng, 1911, ",,,,,,,1,1,1,1,,,,
FOURTH FAMILY PROPERTIES,Ndivhuwo Mkhabela,mufamadimaand@gmail.com,727153871,"21 Gertrude Page Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Ori’s Palace,Nndwakhulu Mufamadi,mnndwakhulu@gmail.com,760234752,"13 William Porter Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Ithacademic Demeter,Thabiso Thebe,tthebe@ithacademic.co.za,615665443,"14 Demeter Road, Bedworth Park, Vereeniging, South Africa",,,,,,,1,1,1,1,,,,
Ntsako Accommodation & Properties ,Tiyisela ntsako Mapiela,mapielatn@gmail.com,731968899,"19 Henri Van Wyk Street, Vanderbijlpark S. E. 7, Vanderbijlpark, South Africa",,,,,,,1,1,1,1,,,,
Vut Main Res,,vutmainres@gmail.com,,1 Andries Potgieter Boulevard Vanderbijlpark 1911,,,,,,,1,1,1,1,,,,
